Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 2000 - 2020
"Species: CRAB, STONE, JUMBO CLAWS, CRAB, STONE, LARGE CLAWS, GROUPER, GAG, GROUPER, RED, MACKEREL, KING, MACKEREL, SPANISH, SHRIMP, PINK, SNAPPER, RED"
Subject to Revision
Years before 2019 are final
"Report created: August 26, 2020"


Year,Species,Month,Pounds,Trips,Average Price,Estimated Value,
2000,"GROUPER, GAG",January,189420,692,2.53,479546,
2000,"GROUPER, RED",January,382398,716,2.11,807064,
2000,"MACKEREL, KING",January,586078,1294,0.94,552825,
2000,"MACKEREL, SPANISH",January,433285,853,0.62,266931,
2000,"SNAPPER, RED",January,6663,111,2.73,18176,
2000,"CRAB, STONE, JUMBO CLAWS",January,31988,2599,14.26,456147,
2000,"CRAB, STONE, LARGE CLAWS",January,155471,4581,12.13,1886028,
2000,"SHRIMP, PINK",January,1060813,818,2.53,2685382,
2000,"GROUPER, GAG",February,237244,835,2.61,619016,
2000,"GROUPER, RED",February,344123,770,2.19,752191,
2000,"MACKEREL, KING",February,422058,1416,1.26,531550,
2000,"MACKEREL, SPANISH",February,687578,798,0.43,294290,
2000,"SNAPPER, RED",February,97702,442,2.38,232759,
2000,"CRAB, STONE, JUMBO CLAWS",February,17348,2085,14.10,244623,
2000,"CRAB, STONE, LARGE CLAWS",February,103077,3955,11.97,1233885,
2000,"SHRIMP, PINK",February,1015717,682,2.98,3031539,
2000,"GROUPER, GAG",March,255512,729,2.65,676373,
2000,"GROUPER, RED",March,486822,894,2.23,1087273,
2000,"MACKEREL, KING",March,362487,1450,1.40,507323,
2000,"MACKEREL, SPANISH",March,288714,632,0.53,153038,
2000,"SNAPPER, RED",March,83463,348,2.28,190375,
2000,"CRAB, STONE, JUMBO CLAWS",March,18038,2216,14.25,256980,
2000,"CRAB, STONE, LARGE CLAWS",March,107578,4052,11.96,1286836,
2000,"SHRIMP, PINK",March,871381,895,3.04,2644900,
2000,"GROUPER, GAG",April,229032,619,2.66,609941,
2000,"GROUPER, RED",April,370943,740,2.29,851004,
2000,"MACKEREL, KING",April,259959,1574,1.93,501250,
2000,"MACKEREL, SPANISH",April,62004,316,0.81,50344,
2000,"SNAPPER, RED",April,67912,247,2.36,160474,
2000,"CRAB, STONE, JUMBO CLAWS",April,15371,1741,12.87,197845,
2000,"CRAB, STONE, LARGE CLAWS",April,99990,3209,11.16,1115564,
2000,"SHRIMP, PINK",April,709748,551,2.96,2100305,
2000,"GROUPER, GAG",May,325388,1089,2.53,823686,
2000,"GROUPER, RED",May,629648,1065,2.02,1271263,
2000,"MACKEREL, KING",May,287567,2103,1.85,531835,
2000,"MACKEREL, SPANISH",May,9434,219,0.75,7102,
2000,"SNAPPER, RED",May,123757,374,2.46,304354,
2000,"CRAB, STONE, JUMBO CLAWS",May,7315,993,11.65,85218,
2000,"CRAB, STONE, LARGE CLAWS",May,34383,1635,10.40,357688,
2000,"SHRIMP, PINK",May,956546,522,2.75,2625914,
2000,"GROUPER, GAG",June,193882,786,2.26,437221,
2000,"GROUPER, RED",June,738536,862,1.67,1234163,
2000,"MACKEREL, KING",June,135411,1313,2.37,321362,
2000,"MACKEREL, SPANISH",June,4231,170,0.65,2738,
2000,"SNAPPER, RED",June,7229,113,2.69,19466,
2000,"SHRIMP, PINK",June,999356,415,2.64,2634762,
2000,"GROUPER, GAG",July,103664,644,2.40,248819,
2000,"GROUPER, RED",July,638208,810,1.78,1139060,
2000,"MACKEREL, KING",July,155618,1397,1.44,224158,
2000,"MACKEREL, SPANISH",July,4017,152,0.79,3156,
2000,"SNAPPER, RED",July,3564,90,2.72,9696,
2000,"SHRIMP, PINK",July,397394,172,2.82,1122535,
2000,"GROUPER, GAG",August,90329,628,2.36,213479,
2000,"GROUPER, RED",August,580211,886,1.80,1041526,
2000,"MACKEREL, KING",August,165673,1457,1.42,235120,
2000,"MACKEREL, SPANISH",August,23628,218,0.62,14656,
